"source","pdf_file","pdf_sha256","printed_headword","normalized_headword","part_of_speech","cefr_level","pdf_page","pdf_column","pdf_line","pre_import_status","pre_import_record_ids","post_import_status","final_record_ids","source_key"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","accommodation","accommodation","noun","B1","1","1","17","existing-exact","16","existing-exact","16","accommodation|B1|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","accompany","accompany","verb","B2","1","1","18","existing-exact","17","existing-exact","17","accompany|B2|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","according to","according to","preposition","A2","1","1","19","existing-exact","18","existing-exact","18","according to|A2|preposition"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","account","account","noun","B1","1","1","20","existing-exact","19","existing-exact","19","account|B1|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","account","account","verb","B2","1","1","20","existing-exact","20","existing-exact","20","account|B2|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","accurate","accurate","adjective","B2","1","1","21","existing-exact","21","existing-exact","21","accurate|B2|adjective"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","accuse","accuse","verb","B2","1","1","22","existing-exact","22","existing-exact","22","accuse|B2|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","achieve","achieve","verb","A2","1","1","23","existing-exact","23","existing-exact","23","achieve|A2|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","achievement","achievement","noun","B1","1","1","24","existing-exact","24","existing-exact","24","achievement|B1|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","acknowledge","acknowledge","verb","B2","1","1","25","existing-exact","25","existing-exact","25","acknowledge|B2|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","acquire","acquire","verb","B2","1","1","26","existing-exact","26","existing-exact","26","acquire|B2|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","across","across","preposition; adverb","A1","1","1","27","existing-exact","27","existing-exact","27","across|A1|adverb+preposition"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","act","act","verb","A2","1","1","28","existing-exact","28","existing-exact","28","act|A2|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","act","act","noun","B1","1","1","28","existing-exact","29","existing-exact","29","act|B1|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","action","action","noun","A1","1","1","29","existing-exact","30","existing-exact","30","action|A1|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","active","active","adjective","A2","1","1","30","existing-exact","31","existing-exact","31","active|A2|adjective"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","activity","activity","noun","A1","1","1","31","existing-exact","32","existing-exact","32","activity|A1|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","actor","actor","noun","A1","1","1","32","existing-exact","33","existing-exact","33","actor|A1|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","actress","actress","noun","A1","1","1","33","existing-exact","34","existing-exact","34","actress|A1|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","actual","actual","adjective","B2","1","1","34","existing-exact","35","existing-exact","35","actual|B2|adjective"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","actually","actually","adverb","A2","1","1","35","existing-exact","36","existing-exact","36","actually|A2|adverb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","ad","ad","noun","B1","1","1","36","existing-exact","37","existing-exact","37","ad|B1|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","adapt","adapt","verb","B2","1","1","37","existing-exact","38","existing-exact","38","adapt|B2|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","add","add","verb","A1","1","1","38","existing-exact","39","existing-exact","39","add|A1|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","addition","addition","noun","B1","1","1","39","existing-exact","40","existing-exact","40","addition|B1|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","additional","additional","adjective","B2","1","1","40","existing-exact","41","existing-exact","41","additional|B2|adjective"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","address","address","noun","A1","1","1","41","existing-exact","42","existing-exact","42","address|A1|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","address","address","verb","B2","1","1","41","existing-exact","43","existing-exact","43","address|B2|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","administration","administration","noun","B2","1","1","42","existing-exact","44","existing-exact","44","administration|B2|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","admire","admire","verb","B1","1","1","43","existing-exact","45","existing-exact","45","admire|B1|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","admit","admit","verb","B1","1","1","44","existing-exact","46","existing-exact","46","admit|B1|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","adopt","adopt","verb","B2","1","1","45","existing-exact","47","existing-exact","47","adopt|B2|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","adult","adult","noun","A1","1","1","46","existing-exact","48","existing-exact","48","adult|A1|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","adult","adult","adjective","A2","1","1","46","existing-exact","49","existing-exact","49","adult|A2|adjective"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","advance","advance","noun; verb; adjective","B2","1","1","47","existing-exact","50","existing-exact","50","advance|B2|adjective+noun+verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","advanced","advanced","adjective","B1","1","1","48","existing-exact","51","existing-exact","51","advanced|B1|adjective"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","advantage","advantage","noun","A2","1","1","49","existing-exact","52","existing-exact","52","advantage|A2|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","adventure","adventure","noun","A2","1","1","50","existing-exact","53","existing-exact","53","adventure|A2|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","advertise","advertise","verb","A2","1","1","51","existing-exact","54","existing-exact","54","advertise|A2|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","advertisement","advertisement","noun","A2","1","1","52","existing-exact","55","existing-exact","55","advertisement|A2|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","advertising","advertising","noun","A2","1","1","53","existing-exact","56","existing-exact","56","advertising|A2|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","advice","advice","noun","A1","1","1","54","existing-exact","57","existing-exact","57","advice|A1|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","advise","advise","verb","B1","1","1","55","existing-exact","58","existing-exact","58","advise|B1|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","affair","affair","noun","B2","1","1","56","existing-exact","59","existing-exact","59","affair|B2|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","affect","affect","verb","A2","1","1","57","existing-exact","60","existing-exact","60","affect|A2|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","afford","afford","verb","B1","1","1","58","existing-exact","61","existing-exact","61","afford|B1|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","afraid","afraid","adjective","A1","1","1","59","existing-exact","62","existing-exact","62","afraid|A1|adjective"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","after","after","preposition","A1","1","1","60","existing-exact","63","existing-exact","63","after|A1|preposition"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","after","after","conjunction; adverb","A2","1","1","60","existing-exact","64","existing-exact","64","after|A2|adverb+conjunction"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","afternoon","afternoon","noun","A1","1","1","61","existing-exact","65","existing-exact","65","afternoon|A1|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","afterwards","afterwards","adverb","B2","1","1","62","existing-exact","66","existing-exact","66","afterwards|B2|adverb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","again","again","adverb","A1","1","1","63","existing-exact","67","existing-exact","67","again|A1|adverb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","against","against","preposition","A2","1","1","64","existing-exact","68","existing-exact","68","against|A2|preposition"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","age","age","noun","A1","1","1","65","existing-exact","69","existing-exact","69","age|A1|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","age","age","verb","B1","1","1","65","existing-exact","70","existing-exact","70","age|B1|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","aged","aged","adjective","B1","1","2","3","existing-exact","71","existing-exact","71","aged|B1|adjective"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","agency","agency","noun","B2","1","2","4","existing-exact","72","existing-exact","72","agency|B2|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","agenda","agenda","noun","B2","1","2","5","existing-exact","73","existing-exact","73","agenda|B2|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","agent","agent","noun","B1","1","2","6","existing-exact","74","existing-exact","74","agent|B1|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","aggressive","aggressive","adjective","B2","1","2","7","existing-exact","75","existing-exact","75","aggressive|B2|adjective"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","ago","ago","adverb","A1","1","2","8","existing-exact","76","existing-exact","76","ago|A1|adverb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","agree","agree","verb","A1","1","2","9","existing-exact","77","existing-exact","77","agree|A1|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","agreement","agreement","noun","B1","1","2","10","existing-exact","78","existing-exact","78","agreement|B1|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","ah","ah","exclamation","A2","1","2","11","existing-exact","79","existing-exact","79","ah|A2|exclamation"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","ahead","ahead","adverb","B1","1","2","12","existing-exact","80","existing-exact","80","ahead|B1|adverb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","aid","aid","noun; verb","B2","1","2","13","existing-exact","81","existing-exact","81","aid|B2|noun+verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","aim","aim","verb; noun","B1","1","2","14","existing-exact","82","existing-exact","82","aim|B1|noun+verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","air","air","noun","A1","1","2","15","existing-exact","83","existing-exact","83","air|A1|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","aircraft","aircraft","noun","B2","1","2","16","existing-exact","84","existing-exact","84","aircraft|B2|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","airline","airline","noun","A2","1","2","17","existing-exact","85","existing-exact","85","airline|A2|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","airport","airport","noun","A1","1","2","18","existing-exact","86","existing-exact","86","airport|A1|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","alarm","alarm","noun","B1","1","2","19","existing-exact","87","existing-exact","87","alarm|B1|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","alarm","alarm","verb","B2","1","2","19","existing-exact","88","existing-exact","88","alarm|B2|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","album","album","noun","B1","1","2","20","existing-exact","89","existing-exact","89","album|B1|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","alcohol","alcohol","noun","B1","1","2","21","existing-exact","90","existing-exact","90","alcohol|B1|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","alcoholic","alcoholic","adjective","B1","1","2","22","existing-exact","91","existing-exact","91","alcoholic|B1|adjective"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","alive","alive","adjective","A2","1","2","23","existing-exact","92","existing-exact","92","alive|A2|adjective"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","all","all","determiner; pronoun","A1","1","2","24","existing-exact","93","existing-exact","93","all|A1|determiner+pronoun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","all","all","adverb","A2","1","2","24","existing-exact","94","existing-exact","94","all|A2|adverb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","all right","all right","adjective; adverb; exclamation","A2","1","2","25","existing-exact","95","existing-exact","95","all right|A2|adjective+adverb+exclamation"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","allow","allow","verb","A2","1","2","26","existing-exact","96","existing-exact","96","allow|A2|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","almost","almost","adverb","A2","1","2","27","existing-exact","97","existing-exact","97","almost|A2|adverb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","alone","alone","adjective; adverb","A2","1","2","28","existing-exact","98","existing-exact","98","alone|A2|adjective+adverb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","along","along","preposition; adverb","A2","1","2","29","existing-exact","99","existing-exact","99","along|A2|adverb+preposition"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","already","already","adverb","A2","1","2","30","existing-exact","100","existing-exact","100","already|A2|adverb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","also","also","adverb","A1","1","2","31","existing-exact","101","existing-exact","101","also|A1|adverb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","alter","alter","verb","B2","1","2","32","existing-exact","102","existing-exact","102","alter|B2|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","alternative","alternative","noun","A2","1","2","33","existing-exact","103","existing-exact","103","alternative|A2|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","alternative","alternative","adjective","B1","1","2","33","existing-exact","104","existing-exact","104","alternative|B1|adjective"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","although","although","conjunction","A2","1","2","34","existing-exact","105","existing-exact","105","although|A2|conjunction"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","always","always","adverb","A1","1","2","35","existing-exact","106","existing-exact","106","always|A1|adverb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","amazed","amazed","adjective","B1","1","2","36","existing-exact","107","existing-exact","107","amazed|B1|adjective"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","amazing","amazing","adjective","A1","1","2","37","existing-exact","108","existing-exact","108","amazing|A1|adjective"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","ambition","ambition","noun","B1","1","2","38","existing-exact","109","existing-exact","109","ambition|B1|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","ambitious","ambitious","adjective","B1","1","2","39","existing-exact","110","existing-exact","110","ambitious|B1|adjective"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","among","among","preposition","A2","1","2","40","existing-exact","111","existing-exact","111","among|A2|preposition"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","amount","amount","noun","A2","1","2","41","existing-exact","112","existing-exact","112","amount|A2|noun"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","amount","amount","verb","B2","1","2","41","existing-exact","113","existing-exact","113","amount|B2|verb"
"The Oxford 3000","The_Oxford_3000.pdf","ddaf936ef29f5e67c2df0ab3b547fd5bf9d9631f900c3cf55c195cb9c5ad0b40","analyse","analyse","verb","B1","1","2","42","existing-exact","114","existing-exact","114","analyse|B1|verb"
